details,title,price,rating_number,average_rating,main_category,categories,store,parent_asin,images,last_category,image_url,brand,color,weight,dimensions,Country of Origin,price_log,price_scaled,category_code,main_category_code,parent_asin_code,country_code,store_code,brand_code,color_code
"{'Operation Mode': 'Toggle', 'Operating Voltage': '5 Volts', 'Connector Type': 'Usb,usb-c', 'Brand': 'Plugable', 'Switch Type': 'Touch Switch', 'Material': 'Plastic', 'Item Dimensions LxWxH': '2.76 x 1.69 x 0.91 inches', 'Mounting Type': 'Plug-In Mount', 'Actuator Type': 'Push Button', 'International Protection Rating': 'IP54', 'Mechanical Life Expectancy': '1 \tyears', 'Color': 'Black', 'Wattage': '5', 'Unit Count': '1 Count', 'Wireless Type': '802.11bgn', 'Item model number': 'USB3-SWITCH2', 'Operating System': 'linux', 'Item Weight': '3.53 ounces', 'Product Dimensions': '2.76 x 1.69 x 0.91 inches', 'Manufacturer': 'Plugable', 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'April 24, 2014', 'Best Sellers Rank': {'KVM Switches': 168}}",Plugable USB 3.0 Sharing Switch for One-Button Swapping of USB Device or Hub Between Two Computers (AB Switch),26.99,1325,4.2,Computers,"['Electronics', 'Computers & Accessories', 'Computer Components', 'External Components', 'KVM Switches']",Plugable,B00JX3Q28Y,"[{'thumb': 'https://m.media-amazon.com/images/I/31IUMdgZ1CL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31IUMdgZ1CL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71PNYnBOdOL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41nLPMLJebL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41nLPMLJebL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/51FNFoq+nFL._AC_SL1001_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31b+aCpWgEL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31b+aCpWgEL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/51VgbC4Qq3L._AC_SL1001_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41cGIhDeF6L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41cGIhDeF6L._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/61DXzq4RqgL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/413KdqPwJzL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/413KdqPwJzL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/61ak9tfAQKL._AC_SL1001_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41cWoWNoieL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41cWoWNoieL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/51sqVUa8b0L._AC_SL1001_.jpg'}]",KVM Switches,https://m.media-amazon.com/images/I/71PNYnBOdOL._AC_SL1500_.jpg,Plugable,Black,3.53 ounces,unk,unk,3.331847303527362,-0.14501931811244978,158,12,2576,13,263,236,4
"{'Product Dimensions': '5.44 x 4.19 x 4.94 inches', 'Item Weight': '1 Pounds', 'Item model number': '95078', 'Best Sellers Rank': {'Blank CD-R Discs': 264}, 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'July 7, 2004', 'Manufacturer': 'DandH Home', 'Language': 'English', 'Brand': 'Verbatim', 'Color': 'White', 'Memory Storage Capacity': '4.7 GB', 'Write Speed': '16x'}","Verbatim 4.7GB Up to 16X Datalifeplus White Inkjet Printable Recordable Disc DVD-R, 50 -Disc Spindle",26.94,1104,4.6,All Electronics,"['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'Blank Media', 'CD-R']",Verbatim,B08X2DCF2B,"[{'thumb': 'https://m.media-amazon.com/images/I/41max0L5CSL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41max0L5CSL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/619bIOpzu7L._AC_SL1200_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/513Prxi5nkL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/513Prxi5nkL._AC_.jpg', 'variant': 'PT08', 'hi_res': 'https://m.media-amazon.com/images/I/81YddlS90vL._AC_SL1500_.jpg'}]",CD-R,https://m.media-amazon.com/images/I/619bIOpzu7L._AC_SL1200_.jpg,Verbatim,White,1 Pounds,unk,unk,3.330059353828816,-0.14693367210201916,37,2,5810,13,373,338,56
"{'Brand': 'SilverStone Technology', 'Item model number': 'SST-FF121', 'Item Weight': '0.704 ounces', 'Product Dimensions': '4.72 x 0.18 x 4.72 inches', 'Item Dimensions  LxWxH': '4.72 x 0.18 x 4.72 inches', 'Color': 'Black', 'Manufacturer': 'Silverstone', 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'February 2, 2010', 'Best Sellers Rank': {'Computer Case Fans': 1065}, 'Item Dimensions LxWxH': '4.72 x 0.18 x 4.72 inches', 'Wattage': '230', 'Cooling Method': 'Air'}","SilverStone Technology SST-FF121 120mm Ultra Fine Fan Filter with Magnet Cooling,black",6.47,5340,4.5,All Electronics,"['Electronics', 'Computers & Accessories', 'Computer Components', 'Internal Components', 'Fans & Cooling', 'Case Fans']",SilverStone Technology,B07RWDZ3HG,"[{'thumb': 'https://m.media-amazon.com/images/I/61tNUJeo83L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/61tNUJeo83L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/A1YAoVO7KpL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51hrUMvxGHL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51hrUMvxGHL._AC_.jpg', 'variant': 'FRNT', 'hi_res': 'https://m.media-amazon.com/images/I/91zfZ2s72bL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41KJzITscaL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41KJzITscaL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/91OhSZ36QRL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/61xafuyl5-L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/61xafuyl5-L._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/A1zszh08-aL._AC_SL1500_.jpg'}]",Case Fans,https://m.media-amazon.com/images/I/A1YAoVO7KpL._AC_SL1500_.jpg,SilverStone Technology,Black,0.704 ounces,unk,unk,2.010894999144726,-1.5593601779151123,61,2,5254,13,313,285,4
"{'Standing screen display size': '23.5 Inches', 'Max Screen Resolution': '1920 x 1080 Pixels', 'Brand': 'SAMSUNG', 'Series': 'CF396', 'Item model number': 'LC24F396FHNXZA', 'Item Weight': '6.8 pounds', 'Product Dimensions': '8.61 x 21.56 x 16.68 inches', 'Item Dimensions  LxWxH': '8.61 x 21.56 x 16.68 inches', 'Color': 'Black', 'Manufacturer': 'Samsung', 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'February 27, 2018', 'Best Sellers Rank': {'Electronics': 2837, 'Computer Monitors': 108}, 'Screen Size': '23.5 Inches', 'Display Resolution Maximum': '1920 x 1080 Pixels', 'Special Feature': 'Curved', 'Refresh Rate': '60 Hz'}","SAMSUNG 23.5” CF396 Curved Computer Monitor, AMD FreeSync for Advanced Gaming, 4ms Response Time, Wide Viewing Angle, Ultra Slim Design, LC24F396FHNXZA, Black",158.0,24081,4.7,Computers,"['Electronics', 'Computers & Accessories', 'Monitors']",SAMSUNG,B09SJ9192T,"[{'thumb': 'https://m.media-amazon.com/images/I/41dYF-lTQ0L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41dYF-lTQ0L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91ubktnbNVL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41om7pquC9L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41om7pquC9L._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/91RLPTjVeaL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51akaPQqN4L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51akaPQqN4L._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/919UaTfV0jL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/210RRmJ6GpL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/210RRmJ6GpL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/61Jo9aH-8OL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/313pj3nIrmL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/313pj3nIrmL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/71VyDtO1TCL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31n7JpW4fuL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31n7JpW4fuL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/81fdPSv2CDL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41bv-DjAMYL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41bv-DjAMYL._AC_.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/91SisyrjeQL._AC_SL1500_.jpg'}]",Monitors,https://m.media-amazon.com/images/I/91ubktnbNVL._AC_SL1500_.jpg,SAMSUNG,Black,6.8 pounds,unk,unk,5.0689042022202315,1.7148438574710407,188,12,6155,13,285,258,4
"{'Product Dimensions': '0.02 x 0.02 x 0.02 inches', 'Item Weight': '0.317 ounces', 'Item model number': 'HDMI-VGA', 'Best Sellers Rank': {'HDMI-to-VGA Adapters': 319, 'Computer Cables & Interconnects': 33322}, 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'December 5, 2013', 'Manufacturer': 'Plugable', 'Country of Origin': 'China'}","Plugable HDMI to VGA Adapter, Driverless 6 Foot (1.8 Meter) Converter Cable Supporting Up to 1920 x 1080 (60Hz)",29.95,572,4.3,All Electronics,"['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'Computer Cable Adapters', 'HDMI-to-VGA Adapters']",Plugable,B00H4J5B9U,"[{'thumb': 'https://m.media-amazon.com/images/I/31V2gPbTRML._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31V2gPbTRML._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61OIud0ChPL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41OUaH2mk-L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41OUaH2mk-L._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/81haslh9xML._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31I0oU0C71L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31I0oU0C71L._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/51K4lr7F3bL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/311OvV6EK8L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/311OvV6EK8L._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/71BogMao3AL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31Uq04YKz0L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31Uq04YKz0L._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/61DmyqkcltL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41U0pNK35TL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41U0pNK35TL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/71EpHn4QvsL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41Ng6tJvLfL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41Ng6tJvLfL._AC_.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/71xRYpCJDqL._AC_SL1500_.jpg'}]",HDMI-to-VGA Adapters,https://m.media-amazon.com/images/I/61OIud0ChPL._AC_SL1500_.jpg,unk,unk,0.317 ounces,unk,China,3.432372999130605,-0.037386666819866125,132,2,2375,1,263,372,69
"{'Brand': 'EBL', 'Color': 'Black', 'Product Dimensions': '9.06 x 4.13 x 1.18 inches; 11.84 Ounces', 'Item Weight': '0.74 Pounds', 'Input Voltage': '9 Volts', 'Is Discontinued By Manufacturer': 'No', 'Item model number': 'EBL-999', 'Date First Available': 'October 23, 2014', 'Manufacturer': 'EBL', 'Country of Origin': 'China'}",EBL 12 Bay LCD Universal Battery Charger for Rechargeable AA AAA 9V NIMH NICD Batteries,29.99,2927,4.5,Industrial & Scientific,"['Electronics', 'Household Batteries, Chargers & Accessories', 'Battery Chargers']",EBL,B00OT7HSBO,"[{'thumb': 'https://m.media-amazon.com/images/I/41o1mbJuTTL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41o1mbJuTTL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61o36ObWH8L._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/410KEoweqEL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/410KEoweqEL.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/61koBizsXhL._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51tiZzP-WoL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51tiZzP-WoL.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/71VQpJPKQxL._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51SOqwGsTKL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51SOqwGsTKL.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/71vjoZYNfyL._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51b5zR8c7rL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51b5zR8c7rL.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/712ity2wvsL._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51-sTVHL3WL._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51-sTVHL3WL.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/812kmakQamL._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41lLJp9+X8L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41lLJp9+X8L.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/71djRopnXzL._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/511Ego6Rv9L._SX38_SY50_CR,0,0,38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/511Ego6Rv9L.jpg', 'variant': 'PT07', 'hi_res': 'https://m.media-amazon.com/images/I/71xY3iLXApL._SL1500_.jpg'}]",Battery Chargers,https://m.media-amazon.com/images/I/61o36ObWH8L._SL1500_.jpg,EBL,Black,0.74 Pounds,unk,China,3.433664571799657,-0.03600378267394823,18,17,2938,1,101,86,4
"{'Product Dimensions': '12.9 x 4.73 x 1.4 inches', 'Item Weight': '2 pounds', 'Item model number': 'A2762', 'Best Sellers Rank': {'Electronics': 30915, 'Power Strips': 1124}, 'Date First Available': 'November 25, 2020', 'Manufacturer': 'Anker', 'Brand': 'Anker', 'Color': 'Black', 'Total Power Outlets': '12', 'Voltage': '240 Volts', 'Special Feature': 'Surge Protection, Usb Slot'}","Anker Power Strip Surge Protector, 12 Outlets & 3 USB Charging Ports with Flat Plug, 6ft Extension Cord, PowerIQ for iPhone Xs/XS Max/XR/X, Galaxy, for Home, Office, and More (4000 Joules) (Black)",26.99,15740,4.8,All Electronics,"['Electronics', 'Accessories & Supplies', 'Power Strips & Surge Protectors', 'Power Strips']",Anker,B08Y8FSTMT,"[{'thumb': 'https://m.media-amazon.com/images/I/31LKQWOuToS._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31LKQWOuToS._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71J0bE+Q49S._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41O6Xqr5zOL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41O6Xqr5zOL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/71Ke-jY6EUL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41uNDdZtHeL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41uNDdZtHeL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/71rXvVtEP5L._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41Y1Jyp2m3L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41Y1Jyp2m3L._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/8151x-XzBOL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41BSedTOGQL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41BSedTOGQL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/71tccktz3hL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41vnuIU1-ZL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41vnuIU1-ZL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/71n8Bb21DgL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41NVuv-uViL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41NVuv-uViL._AC_.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/71okw5kDw4L._AC_SL1500_.jpg'}]",Power Strips,https://m.media-amazon.com/images/I/71J0bE+Q49S._AC_SL1500_.jpg,Anker,Black,2 pounds,unk,unk,3.331847303527362,-0.14501931811244978,217,2,5827,13,26,25,4
"{'Brand': 'AURUM CABLES', 'Connector Type': 'HDMI', 'Cable Type': 'Ethernet', 'Compatible Devices': 'Laptop, PlayStation, Television, DVD Player, Personal Computer', 'Special Feature': 'Braided, High Speed', 'Recommended Uses For Product': 'Indoor', 'Color': 'Black', 'Connector Gender': 'Male-to-Female', 'Data Transfer Rate': '10.2 Gigabits Per Second', 'Unit Count': '1 Count', 'Item Weight': '1.6 ounces', 'Connectivity Technology': 'HDMI', 'Gauge': '28.0', 'Specification Met': 'RoHS', 'Product Dimensions': '5.6 x 5.4 x 0.4 inches', 'Item model number': 'GK821970', 'Best Sellers Rank': {'HDMI Cables': 5222}, 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'August 1, 2011', 'Manufacturer': 'Aurum Cables'}","AURUM CABLES High Speed HDMI Extension Cable with Ethernet - 4K HDMI Extender Male to Female HDMI Cable Compatible with PS3, PS4, Xbox 360, 3D TV, Blu Ray Player, Laptop, PC - 3ft - 1 Pack",11.0,952,4.6,All Electronics,"['Electronics', 'Television & Video', 'Accessories', 'Cables', 'HDMI Cables']",Aurum Cables,B07BM9DS5S,"[{'thumb': 'https://m.media-amazon.com/images/I/41uBLd1KlEL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41uBLd1KlEL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/612WX1+z6wL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51IencUNI0L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51IencUNI0L._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/81ino5xs4oL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51OGhnFekeL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51OGhnFekeL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/71DtjO84JPL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/412PPQmSLOL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/412PPQmSLOL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/81FNzkvIflL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51zxBYO7sfL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51zxBYO7sfL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/71uc49-+LGL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51T7ymKY3WL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51T7ymKY3WL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/71UCeHF8KUL._AC_SL1500_.jpg'}]",HDMI Cables,https://m.media-amazon.com/images/I/612WX1+z6wL._AC_SL1500_.jpg,AURUM CABLES,Black,1.6 ounces,unk,unk,2.4849066497880004,-1.0518368984575588,131,2,4759,13,38,14,4
"{'Hard Drive': '1 TB Solid State Drive', 'Brand': 'Crucial', 'Series': 'MX500 3D NAND SATA M.2 Type 2280SS Internal SSD', 'Item model number': 'CT1000MX500SSD4', 'Hardware Platform': 'PC; Mac', 'Item Weight': '0.32 ounces', 'Product Dimensions': '3.15 x 0.87 x 0.05 inches', 'Item Dimensions  LxWxH': '3.15 x 0.87 x 0.05 inches', 'Color': 'Multicolor', 'Flash Memory Size': '1 TB', 'Hard Drive Interface': 'Solid State', 'Manufacturer': 'CRUCIAL TECHNOLOGY', 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'January 9, 2018', 'Best Sellers Rank': {'Internal Solid State Drives': 1019, 'Computer Internal Components': 9372}, 'Digital Storage Capacity': '1 TB', 'Hard Disk Interface': 'Solid State', 'Connectivity Technology': 'SATA', 'Hard Disk Form Factor': '2280 Inches', 'Hard Disk Description': 'Solid State Drive', 'Compatible Devices': 'This drive is compatible with desktops and laptops that accept M.2 Type 2280SS SATA drives', 'Hard Disk Size': '1 TB', 'Specific Uses For Product': 'personal, gaming, business'}","Crucial MX500 1TB 3D NAND SATA M.2 (2280SS) Internal SSD, up to 560MB/s - CT1000MX500SSD4",26.99,10678,4.7,Computers,"['Electronics', 'Computers & Accessories', 'Computer Components', 'Internal Components']",Crucial,B0784SY515,"[{'thumb': 'https://m.media-amazon.com/images/I/411cDO+I1WL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/411cDO+I1WL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61-SAKPkiJL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51g5oKFTqlL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51g5oKFTqlL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/71+Te8NorML._AC_SL1280_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41Tg6dcojwL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41Tg6dcojwL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/71JPDS6tb8L._AC_SL1280_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41PzyjM5MML._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41PzyjM5MML._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/61xRgOyrKYL._AC_SL1280_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51f9cNyXexL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51f9cNyXexL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/71X4U1kvO1L._AC_SL1280_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/5136KUV4ncL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/5136KUV4ncL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/71gAlrxK99L._AC_SL1280_.jpg'}]",Internal Components,https://m.media-amazon.com/images/I/61-SAKPkiJL._AC_SL1500_.jpg,Crucial,Multicolor,0.32 ounces,unk,unk,3.331847303527362,-0.14501931811244978,151,12,4662,13,87,76,33
"{'Manufacturer': 'SquareTrade', 'Brand': 'SquareTrade', 'Item model number': 'RDOF0099N3B', 'Is Discontinued By Manufacturer': 'No', 'Manufacturer Part Number': 'RDOF0099N3B', 'Date First Available': 'July 6, 2012'}",Allstate 3-Year Office Protection Plan ($75-99.99),26.99,749,4.0,Office Products,"['Electronics', 'Electronics Warranties']",SquareTrade,B008I63HDA,"[{'thumb': 'https://m.media-amazon.com/images/I/41BcFDQ51iL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41BcFDQ51iL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/41BcFDQ51iL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41BcFDQ51iL._AC_.jpg', 'variant': 'PT01', 'hi_res': None}]",Electronics Warranties,,SquareTrade,unk,unk,unk,unk,3.331847303527362,-0.14501931811244978,112,19,1573,13,322,293,69
